GENE,gene_name,gene,Phenotype,ALL_zscore,ALL_effect_size,ALL_P,ALL_var_g,ALL_pred_perf_r2,ALL_pred_perf_pval,ALL_n_snps_used,ALL_n_snps_in_cov,ALL_n_snps_in_model,CAU_zscore,CAU_effect_size,CAU_P,CAU_var_g,CAU_pred_perf_r2,CAU_pred_perf_pval,CAU_n_snps_used,CAU_n_snps_in_cov,CAU_n_snps_in_model,INTERVAL_zscore,INTERVAL_effect_size,INTERVAL_P,INTERVAL_var_g,INTERVAL_pred_perf_r2
SL004355_ENSG00000276085,SL004355,CCL3L1.2783.18.2,ovary,-0.00650791804241439,0.00344961257124172,0.994807469324219,0.0925240160879473,0.140975059118795,1.28863369471212e-34,34,36,36,-0.296360021850865,-0.0102742964836116,0.766955152619733,0.114277416683272,0.141207005744114,1.65882601793385e-15,32,33,33,0.416171231452593,0.0200444099660801,0.677284709439205,0.0437657144922934,0.0558569530491805
SL004359_ENSG00000185652,SL004359,NA,ovary,0.618728204802579,0.0420150482415653,0.536095426074238,0.0112398652440139,0.0225453133771408,2.53076064018812e-06,16,16,16,1.63303623931739,0.0878147453930955,0.102461375122877,0.0312760478995917,0.0407872073064062,3.81892830151876e-05,40,44,44,NA,NA,NA,NA,NA
SL004367_ENSG00000107984,SL004367,NA,ovary,1.47175143613594,0.0618400958721518,0.141088012164895,0.0658214776986997,0.0544272329072908,1.50037505258615e-13,74,78,78,1.90882731997229,0.139945716205413,0.0562843713073619,0.0157656472241927,0.0476663468568672,7.68492050661874e-06,28,28,28,NA,NA,NA,NA,NA
SL004438_ENSG00000175315,SL004438,CST6.3303.23.2,ovary,-0.272275602010118,-0.0227945085632412,0.785410114572835,0.00736925360596221,0.0102694824769306,0.00162840323138185,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.295263150611297,0.0247510824413037,0.767792863837877,0.0137233282773054,0.015637233118536
SL004458_ENSG00000124102,SL004458,PI3.4982.54.1,ovary,-0.229864369908709,-0.0150369752999052,0.818197163694526,0.0299498437944466,0.0390354200571661,5.7420200371831e-10,23,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.359261305646078,-0.018607980076284,0.719399618277762,0.0296401250921677,0.0431567166603035
SL004467_ENSG00000140093,SL004467,SERPINA10.13119.26.3,ovary,2.04144907865057,0.0454499971060798,0.0412062104108189,0.255789231157416,0.274082528127288,1.5749010781094e-72,99,100,100,1.54078638421256,0.0326730955885572,0.123368784322937,0.178074964869457,0.262531564525497,1.77248177468254e-30,42,42,42,1.54922163434339,0.0342559715197572,0.121328450496953,0.162255347137662,0.189569935716769
SL004475_ENSG00000142166,SL004475,IFNAR1.9183.7.3,ovary,-1.80054508514453,-0.0481080910163962,0.0717746113229063,0.159121249773233,0.218775537951395,1.76809010992814e-55,18,18,18,-1.41725642323194,-0.0440672127268348,0.156407970684512,0.0947288627042965,0.142436915699976,8.76229579981631e-16,9,10,10,-1.33419863703405,-0.125338673670863,0.182138766111862,0.0111216583823547,0.0185315463910833
SL004511_ENSG00000101425,SL004511,BPI.4126.22.1,ovary,-0.675669438392415,-0.0263417879878841,0.499250543836162,0.0485914418805347,0.102953464803588,6.25563232655539e-25,17,17,17,0.180257571321923,0.0115004140605381,0.856950363181863,0.0435462140127945,0.0739282989796044,2.10034353978027e-08,20,20,20,-0.0176179684387466,0.00102695178341715,0.985943622160214,0.13724544441249,0.164059279774458
SL004516_ENSG00000165471,SL004516,MBL2.3000.66.1,ovary,-0.406883575307913,-0.00348350942276398,0.684093499832439,0.345470606271016,0.362900685592956,1.21966276949267e-103,111,119,119,-1.22136774344227,-0.0189448728507058,0.221946814584344,0.383190198887825,0.452770219832372,9.0962436608216e-61,55,60,60,-0.574572647557555,-0.00747185060147017,0.56558035519332,0.548176555523973,0.606118761940482
SL004556_ENSG00000196352,SL004556,CD55.5069.9.3,ovary,0.123034577375834,0.00543354937642774,0.902079717178808,0.108409793597074,0.119589132436445,4.25534698854463e-29,74,85,85,-0.45606921546466,-0.0155093931743329,0.648340206384476,0.0877898637445404,0.140703265831501,2.06361150573978e-15,39,40,40,-0.506776677181667,-0.0163948223972769,0.612311522635701,0.0891120006459098,0.104694816185346
SL004557_ENSG00000085063,SL004557,CD59.11514.196.3,ovary,-0.271458501600651,-0.0148525888926605,0.786038412689676,0.017847198432658,0.028511782205206,1.28116749861151e-07,17,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0270736305218053,-0.00113123759363625,0.978401006844289,0.0471191817424371,0.0570422911648322
SL004588_ENSG00000196083,SL004588,IL1RAP.2630.12.2,ovary,-0.702647913603089,-0.018602097457653,0.482275195100078,0.308948922661987,0.396716716657879,5.68127638582667e-117,75,81,81,-0.189112497125272,-0.00283302932167068,0.850004646929895,0.446345115811232,0.53440628880981,3.62580543779185e-78,73,73,73,-0.347399556508157,-0.00552323566045643,0.728291166474831,0.485041189499394,0.527445895884604
SL004610_ENSG00000157193,SL004610,NA,ovary,0.359903419124371,0.0253127320938701,0.718919360046871,0.0197003622668429,0.0239568774344638,1.38479819637948e-06,25,30,30,-0.451464614859513,-0.0187698671542256,0.651654722598155,0.0621116943152754,0.0646793525163821,1.67669925552323e-07,48,49,49,NA,NA,NA,NA,NA
SL004626_ENSG00000154736,SL004626,ADAMTS5.3168.8.2,ovary,1.4435111281305,0.0290087009890138,0.148876539995322,0.235403988631122,0.289145890491501,4.90914683098554e-79,31,32,32,1.58423523126467,0.0334624318377154,0.113140198666113,0.182384953140399,0.30032195930025,2.53261333234008e-35,11,11,11,1.33927805653659,0.0496994719261448,0.180480169594515,0.0719972679083226,0.101025285521667
SL004635_ENSG00000106952,SL004635,NA,ovary,0.0371973772584243,0.0056929261402025,0.970327629811373,0.00474506083387309,0.0148837882623224,0.000142084361705229,8,8,8,-0.0162923960490298,0.00241919022990464,0.987001123811519,0.0291945771628338,0.0113704414528724,0.0310173575616647,57,59,59,NA,NA,NA,NA,NA
SL004645_ENSG00000166145,SL004645,NA,ovary,-0.678155177802023,-0.0779766796839163,0.49767330848622,0.0239916972876534,0.0365404587483664,1.70992803132173e-09,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL004646_ENSG00000204381,SL004646,NA,ovary,0.619705042228233,0.0338293882362398,0.535451995427574,0.0341323336157474,0.0246599889751303,8.80288320623195e-07,46,50,50,0.370146396042823,0.0431900263469059,0.711273414154038,0.00463731802373699,0.0144080274803385,0.0153785933635268,5,5,5,NA,NA,NA,NA,NA
SL004650_ENSG00000162998,SL004650,NA,ovary,-1.18249520938693,-0.0731129781908408,0.237009265260772,0.0371723193974538,0.0420473015843418,1.00160616929202e-10,37,37,37,-0.0687740133417617,-0.00335664795298819,0.945169503446909,0.0334170592736696,0.0168970928214224,0.00824556535324411,22,23,23,NA,NA,NA,NA,NA
SL004661_ENSG00000157766,SL004661,NA,ovary,-0.452677765947861,-0.0414669821461277,0.650780792077446,0.00838070119165853,0.0103950389643818,0.00154021933145814,26,26,26,-1.5390025321422,-0.0616933338409987,0.123803678072557,0.047915633260958,0.0110182470507323,0.0331343344629927,54,56,56,NA,NA,NA,NA,NA
SL004673_ENSG00000163131,SL004673,CTSS.3181.50.2,ovary,0.142964982478394,0.00354953711009153,0.886317836985666,0.0578958955438575,0.081838901663973,5.63419339943034e-20,37,37,37,-0.340877880955518,-0.00751585718007824,0.73319551706003,0.148737851098427,0.145523315479668,8.10740020758567e-16,46,47,47,-0.376114902301273,-0.0133440998078943,0.706831475934282,0.0884785925505115,0.113973268990162
SL004739_ENSG00000055955,SL004739,NA,ovary,1.26618223640383,0.0801830742555863,0.205447845693825,0.01981667884944,0.038631687740224,6.06294313688644e-10,37,46,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL004742_ENSG00000079557,SL004742,NA,ovary,0.676041077009758,0.0339328660395718,0.499014565406079,0.0570897814676538,0.0659503365229774,3.76800800501936e-16,46,53,53,0.434984498651686,0.0221339878717669,0.663573679220161,0.0608877434520665,0.064295482947546,1.65485664203291e-07,46,46,46,NA,NA,NA,NA,NA
SL004782_ENSG00000123610,SL004782,TNFAIP6.5036.50.1,ovary,1.90045216739186,0.105715612673648,0.0573738064525214,0.0328179801614678,0.060788221538677,5.77388031773061e-15,21,21,21,1.47379096615575,0.0780439862912264,0.140537881390076,0.0285998492875742,0.0435787569837621,1.90160662301153e-05,21,21,21,1.54003726683219,0.0346433985281651,0.123551269704849,0.156420235617558,0.168752963487706
SL004783_ENSG00000163221,SL004783,S100A12.5852.6.3,ovary,1.48844181130321,0.17862615945456,0.136634416985049,0.00636465384076462,0.0151242384318278,0.000128430797647762,10,10,10,1.1684493291894,0.0827772980291987,0.242625566954785,0.0188646569499848,0.0317652659168384,0.000298864214864543,13,13,13,1.63324111706205,0.22386236010175,0.102418295456288,0.00608300742596909,0.0101901059252251
SL004815_ENSG00000166913,SL004815,NA,ovary,0.486408552066828,0.0295678558973094,0.626677528277689,0.0186395711937004,0.0252362117891095,7.07716637338124e-07,25,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL004850_ENSG00000177663,SL004850,IL17RA.2992.59.2,ovary,-0.772299952434279,-0.0149293986246428,0.439936793585645,0.467581106842083,0.389809675157883,1.14956621508285e-115,226,230,230,-0.324847360623174,-0.00497669756635249,0.745296598093115,0.438939131846757,0.573943114632532,3.49994123871264e-91,34,34,34,-0.419937534326432,-0.00575031145760315,0.674531087052825,0.56946383837572,0.58634206000905
SL004852_ENSG00000120217,SL004852,NA,ovary,1.40984343095638,0.0662931858768549,0.158585919248796,0.0469591564970689,0.0592689728459706,1.02357153912475e-14,35,39,39,0.49606091513255,0.0126499190044042,0.619851433856087,0.0897695584514349,0.0515410886612426,2.82862501060238e-06,69,74,74,NA,NA,NA,NA,NA
SL004855_ENSG00000018236,SL004855,NA,ovary,0.835004610353076,0.0260928100204309,0.403715112572134,0.0953381942978268,0.0315886579514207,2.69832132832354e-08,103,119,119,-0.548009800720528,-0.0189737942134872,0.583685173273987,0.0742787353505269,0.0693617891489184,4.96821790326086e-08,81,85,85,NA,NA,NA,NA,NA
SL004858_ENSG00000151892,SL004858,GFRA1.3314.74.2,ovary,-0.0437217948627234,0.00356817506432629,0.965126166038704,0.0555482477854235,0.0425214532665957,6.24547456905946e-11,44,49,49,-0.358368611990221,-0.0138475920935748,0.720067477898301,0.0469030536062312,0.10358410037059,1.92047599965869e-11,24,24,24,0.694017115929441,0.0554547015322631,0.487671475156497,0.0150792357634013,0.0253030955370738
SL004861_ENSG00000115607,SL004861,NA,ovary,0.125043372554478,0.00623183874660441,0.900489213449582,0.0482232462106412,0.0409710015386768,2.11073659638463e-10,36,38,38,0.412235838139059,0.0183512581228634,0.680166571569218,0.0419959296420227,0.0665490501821797,1.1172606057003e-07,40,46,46,NA,NA,NA,NA,NA
SL004862_ENSG00000197646,SL004862,PDCD1LG2.3004.67.2,ovary,0.462160227725924,0.0117521687262113,0.643966422340289,0.109321114811656,0.158343305385373,4.96626842211448e-39,26,26,26,0.527110764828643,0.0102866581706124,0.598116671680934,0.149925291377603,0.192378194621456,2.09432070252125e-21,33,34,34,0.052801451765918,0.00160962485553632,0.957890104774231,0.0669838244652551,0.10119532837176
SL004863_ENSG00000127863,SL004863,NA,ovary,-0.503321406449394,-0.0117901629137461,0.614738318524927,0.00732582951232268,0.0174880723796573,3.6657070343117e-05,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL004866_ENSG00000133742,SL004866,NA,ovary,0.818718105146945,0.0820731440093263,0.412947264465247,0.0167971436919641,0.0272231694540078,1.95889323626378e-07,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL004872_ENSG00000135960,SL004872,EDAR.2977.7.2,ovary,-0.36024358236072,-4.43559941011228e-05,0.718664985496276,0.0619400305774671,0.0662586027494969,2.13905549889654e-16,55,61,61,-0.222852772827141,-0.00696214275542906,0.823650093845616,0.0795082832596673,0.0885782792877921,3.85415126981912e-10,41,41,41,-0.662749351152767,-0.0233369629535934,0.50749109681286,0.0638657022280924,0.101861384909068
SL004875_ENSG00000115598,SL004875,IL1RL2.2994.71.2,ovary,-0.503734118158591,-0.0163231183918299,0.614448229503334,0.0485369957841229,0.0775176628887025,5.46164124205072e-19,32,33,33,-1.13364342080766,-0.0698843687640409,0.256944151613237,0.0211951998970467,0.0742250567225654,1.92344726705948e-08,6,6,6,-0.313917922716704,-0.0203724244504659,0.75358337761459,0.0188717388233055,0.0307110723503526
